Country,StateCode,State,County,Flyway,Flock Type,Species,Avian Infuenza Subtype,Confirmation Date,Flock Size
United States,IA,Iowa,Buena Vista,Mississippi,Commercial,Chickens,EA/AM-H5N2,1-May-15,"4,910,600"
United States,IA,Iowa,Buena Vista,Mississippi,Commercial,Turkeys,EA/AM-H5N2,1-May-15,"29,600"
United States,MN,Minnesota,Swift,Mississippi,Commercial,Turkeys,EA/AM-H5N2,4-May-15,"46,200"
United States,IA,Iowa,Sac,Mississippi,Commercial,Turkeys,EA/AM-H5N2,4-May-15,"42,600"
United States,MN,Minnesota,Renville,Mississippi,Commercial,Turkeys,EA/AM-H5N2,4-May-15,"12,900"
United States,MN,Minnesota,Meeker,Mississippi,Commercial,Turkeys,EA/AM-H5N2,4-May-15,"30,400"
United States,IA,Iowa,Madison,Mississippi,Commercial,Chickens,EA/AM-H5N2,4-May-15,"1,495,600"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,4-May-15,"7,400"
United States,IA,Iowa,Cherokee,Mississippi,Commercial,Turkeys,EA/AM-H5N2,4-May-15,"44,700"
United States,IA,Iowa,Wright,Mississippi,Commercial,Chickens,EA/AM-H5N2,5-May-15,"2,821,800"
United States,MN,Minnesota,Swift,Mississippi,Commercial,Turkeys,EA/AM-H5N2,5-May-15,"151,300"
United States,IA,Iowa,Sioux-5-5-15,Mississippi,Commercial,Chickens,EA/AM-H5N2,5-May-15,"160,200"
United States,MN,Minnesota,Pipestone,Mississippi,Commercial,Turkeys,EA/AM-H5N2,5-May-15,"72,200"
United States,MN,Minnesota,Nicollet,Mississippi,Commercial,Chickens,EA/AM-H5N2,5-May-15,"1,102,900"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,5-May-15,"89,100"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,5-May-15,"40,600"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,5-May-15,"37,300"
United States,IA,Iowa,Cherokee,Mississippi,Commercial,Turkeys,EA/AM-H5N2,5-May-15,"47,200"
United States,WI,Wisconsin,Barron,Mississippi,Commercial,Turkeys,EA/AM-H5N2,5-May-15,"57,200"
United States,WI,Wisconsin,Barron,Mississippi,Commercial,Turkeys,EA/AM-H5N2,5-May-15,"182,400"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,6-May-15,"65,000"
United States,WI,Wisconsin,Jefferson,Mississippi,Commercial,Chickens,EA/AM-H5N2,6-May-15,"128,000"
United States,IA,Iowa,Sioux,Mississippi,Commercial,Chickens,EA/AM-H5N2,7-May-15,"81,000"
United States,IA,Iowa,Sioux,Mississippi,Commercial,Chickens,EA/AM-H5N2,7-May-15,"309,900"
United States,IA,Iowa,Sioux,Mississippi,Commercial,Chickens,EA/AM-H5N2,7-May-15,"182,300"
United States,IA,Iowa,Osceola,Mississippi,Commercial,Chickens,EA/AM-H5N2,7-May-15,"256,000"
United States,IA,Iowa,Buena Vista,Mississippi,Commercial,Turkeys,EA/AM-H5N2,7-May-15,"52,900"
United States,IA,Iowa,Buena Vista,Mississippi,Commercial,Turkeys,EA/AM-H5N2,7-May-15,"43,800"
United States,IA,Iowa,Buena Vista,Mississippi,Commercial,Turkeys,EA/AM-H5N2,7-May-15,"17,900"
United States,IA,Iowa,Wright,Mississippi,Commercial,Chickens,EA/AM-H5N2,8-May-15,"1,106,500"
United States,IA,Iowa,Sioux,Mississippi,Commercial,Chickens,EA/AM-H5N2,8-May-15,"581,300"
United States,IA,Iowa,Sioux,Mississippi,Commercial,Chickens,EA/AM-H5N2,8-May-15,"327,900"
United States,IA,Iowa,Sioux,Mississippi,Commercial,Chickens,EA/AM-H5N2,8-May-15,"303,100"
United States,IA,Iowa,Pocahontas,Mississippi,Commercial,Turkeys,EA/AM-H5N2,8-May-15,"24,600"
United States,IA,Iowa,Cherokee,Mississippi,Commercial,Turkeys,EA/AM-H5N2,8-May-15,"43,400"
United States,MN,Minnesota,Swift,Mississippi,Commercial,Turkeys,EA/AM-H5N2,11-May-15,"65,600"
United States,MN,Minnesota,Redwood,Mississippi,Commercial,Turkeys,EA/AM-H5N2,20-Apr-15,pending
United States,IA,Iowa,Sac,Mississippi,Commercial,Turkeys,EA/AM-H5N2,11-May-15,"35,200"
United States,IA,Iowa,Palo Alto,Mississippi,Commercial,Turkeys,EA/AM-H5N2,11-May-15,"38,400"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,11-May-15,"22,400"
United States,IA,Iowa,Cherokee,Mississippi,Commercial,Turkeys,EA/AM-H5N2,11-May-15,"42,000"
United States,IA,Iowa,Buena Vista,Mississippi,Commercial,Turkeys,EA/AM-H5N2,11-May-15,"35,400"
United States,IA,Iowa,Buena Vista,Mississippi,Commercial,Turkeys,EA/AM-H5N2,11-May-15,"33,900"
United States,IA,Iowa,Buena Vista,Mississippi,Commercial,Chickens,EA/AM-H5N2,11-May-15,"33,300"
United States,IA,Iowa,Wright,Mississippi,Commercial,Chickens,EA/AM-H5N2,12-May-15,"966,600"
United States,MN,Minnesota,Swift,Mississippi,Commercial,Turkeys,EA/AM-H5N2,12-May-15,"37,900"
United States,NE,Nebraska,Dixon,Central,Commercial,Chickens,EA/AM-H5N2,12-May-15,"1,791,500"
United States,SD,South Dakota,Yankton,Central,Commercial,Turkeys,EA/AM-H5N2,13-May-15,"70,600"
United States,SD,South Dakota,Hutchinson,Central,Commercial,Turkeys,EA/AM-H5N2,13-May-15,"70,600"
United States,IA,Iowa,Cherokee,Mississippi,Commercial,Turkeys,EA/AM-H5N2,13-May-15,"46,500"
United States,IA,Iowa,Buena Vista,Mississippi,Commercial,Turkeys,EA/AM-H5N2,13-May-15,"26,800"
United States,IA,Iowa,Lyon,,Commercial,Chickens,EA/AM-H5N2,14-May-15,"390,000"
United States,IA,Iowa,Sioux,Mississippi,Commercial,Chickens,EA/AM-H5N2,15-May-15,"272,300"
United States,IA,Iowa,Sioux,Mississippi,Commercial,Chickens,EA/AM-H5N2,15-May-15,"240,000"
United States,IA,Iowa,Plymouth,Mississippi,Commercial,Chickens,EA/AM-H5N2,15-May-15,"100,000"
United States,NE,Nebraska,Dixon,Central,Commercial,Chickens,EA/AM-H5N2,15-May-15,"1,709,400"
United States,IA,Iowa,Buena Vista,Mississippi,Commercial,Chickens,EA/AM-H5N2,15-May-15,"903,700"
United States,SD,South Dakota,Moody,Central,Commercial,Chickens,EA/AM-H5N2,18-May-15,"642,700"
United States,MN,Minnesota,Meeker,Mississippi,Commercial,Turkeys,EA/AM-H5N2,18-May-15,"138,800"
United States,IA,Iowa,Sac,Mississippi,Commercial,Turkeys,EA/AM-H5N2,19-May-15,"28,400"
United States,MN,Minnesota,Renville,Mississippi,Commercial,Chickens,EA/AM-H5N2,19-May-15,"2,045,600"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,19-May-15,"42,600"
United States,IA,Iowa,Sac,Mississippi,Commercial,Turkeys,EA/AM-H5N2,19-May-15,"43,400"
United States,IA,Iowa,Sioux,Mississippi,Commercial,Chickens,EA/AM-H5N2,20-May-15,"240,000"
United States,IA,Iowa,Sac,Mississippi,Commercial,Turkeys,EA/AM-H5N2,21-May-15,"100,000"
United States,IA,Iowa,Calhoun,Mississippi,Commercial,Turkeys,EA/AM-H5N2,21-May-15,"14,400"
United States,IA,Iowa,Pocahontas,Mississippi,Commercial,Turkeys,EA/AM-H5N2,26-May-15,"20,700"
United States,NE,Nebraska,Dixon,Central,Commercial,Chickens,EA/AM-H5N2,26-May-15,"293,200"
United States,MN,Minnesota,Renville,Mississippi,Commercial,Turkeys,EA/AM-H5N2,27-May-15,"95,300"
United States,MN,Minnesota,Brown,Mississippi,Commercial,Turkeys,EA/AM-H5N2,27-May-15,"46,800"
United States,IA,Iowa,Adair,Mississippi,Commercial,Chickens,EA/AM-H5N2,27-May-15,"974,500"
United States,IA,Iowa,Wright,Mississippi,Commercial,Chickens,EA/AM-H5N2,28-May-15,"991,500"
United States,MN,Minnesota,Renville,Mississippi,Commercial,Turkeys,EA/AM-H5N2,28-May-15,"48,900"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,28-May-15,"50,800"
United States,MN,Minnesota,Renville,Mississippi,Commercial,Turkey,EA/AM-H5N2,29-May-15,"29,300"
United States,MN,Minnesota,Meeker,Mississippi,Commercial,Turkey,EA/AM-H5N2,29-May-15,"4,900"
United States,IA,Iowa,Hamilton,Mississippi,Commercial,Turkeys,EA/AM-H5N2,29-May-15,"17,000"
United States,MN,Minnesota,Brown,Mississippi,Commercial,Turkey,EA/AM-H5N2,29-May-15,"7,300"
United States,IA,Iowa,Wright,Mississippi,Commercial,Chickens,EA/AM-H5N2,1-Jun-15,"434,800"
